Tanjung tinggi,107.713549,-2.551855,"Tanjung tinggi adalah pantai yang diapit oleh dua semenanjung, yaitu tanjung Kelayang dan tanjung Pendam. Nama tanjung tinggi diambil dari kata tanjung yang artinya semenanjung dan tinggi yang artinya pantai yang memiliki bebatuan yang tinggi. Pantai Tanjung Tinggi merupakan salah satu tempat wisata di pulau Belitung. Letaknya tidak jauh dari Pantai Tanjung Kelayang dan berjarak sekitar 31 km dari kota Tanjung Pandan. Pantai ini memiliki area seluas 80 hektar, berpasir putih, dan terdapat ratusan batu granit besar yang tersebar di kedua semenanjung dan juga di laut di depan pantai. Ukuran granit mulai dari beberapa meter kubik hingga ratusan meter kubik lebih besar dari sebuah bangunan sebesar rumah, sehingga menjadi tempat wisata ungulan di Pulau Belitung",FALSE,0,interest
Tanjung Kelayang,107.669186,-2.558398,"Pantai Tanjung Kelayang merupakan salah satu pantai yang terletak di Kepulauan Bangka Belitung. Lokasinya berada di Kecamatan Sijuk dan berjarak sekitar 27 kilometer dari Tanjung Pandan[1] yang merupakan ibu kota Kabupaten Belitung.
Pantai ini memiliki puluhan batu granit raksasa, yang bentuknya sangat mirip dengan kepala burung garuda.[2] Menurut cerita rakyat setempat, batu tersebut dipercaya memiliki kekuatan mistis. Nama â€œKelayangâ€ bisa dikatakan merupakan nama yang diambil dari salah satu jenis burung yang terdapat di pantai ini.
Pada tanggal 15 Maret 2016, Tanjung Kelayang ditetapkan sebagai Kawasan Ekonomi Khusus (KEK) melalui Peraturan Pemerintah Nomor 6 Tahun 2016, dengan kegiatan utama di bidang pariwisata. KEK Tanjung Kelayang dengan lahan seluas 324,4 hektare merupakan KEK ke-9 yang ditetapkan pemerintah sampai tahun 2016.[3]",,,
Danau Kaolin,107.681841,"-2.736819,","Danau Kaolin adalah sebuah danau yang memiliki warna daratan yang putih bersih dan air yang berwarna biru menyala. Danau ini bukan berasal dari kawah gunung seperti Danau Kawah Putih Ciwidey atau Kawah Putih Tinggi Raja, danau terbentuk dari bekas tempat pertambangan Kaolin yang telah ditinggalkan dan alam menyempurnakan dengan keindahannya. Sedikit pengetahuan tentang Kaolin. Kaolin adalah suatu mineral sebagai bahan industri seperti kosmetik, kertas, makanan, pasta gigi dan Kaolin digemari karena sifatnya yang halus, putih, kuat, halus serta daya hantarlistrik dan daya hantar panas yang rendah.",,,
Tanjung Pendam,107.624915,-2.740690,"Mungkin inilah pantai paling terkenal di pusat Kota Belitung. Letaknya yang berada di Tanjung Pandan membuat pantai ini menjadi sasaran kunjungan warga Belitung yang ingin bersantai dan menikmati senja di pinggir pantai. Pantai Tanjung Pendam memang menjadi kebanggaan warga yang tinggal di pusat Negeri Laskar Pelangi ini. Selain menikmati suasana pantai dengan ombaknya yang tidak terlalu besar, pengunjung juga dapat menikmati suasana taman hiburan yang ada di sekitar pantai. Duduk-duduk sambil bersantai di sekitar pantai menjadi hal mengasyikkan di pantai yang sering digunakan untuk menggelar acara-acara kesenian khas Belitung ini.",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,